course_name,units,year_11_male,year_11_female,year_11_total,year_12 _male,year_12 _female,year_12 _total
Latin Extension,1,,,,14,28,42
Legal Studies,2,3282,5334,8616,2160,3530,5690
Macedonian Continuers,2,8,16,24,4,11,15
Mathematics,2,7356,6228,13584,4379,3981,8360
Mathematics Extension,1,3871,2896,6767,,,
Mathematics Extension 1,2,,,,2820,2108,4928
Mathematics Extension 2,2,,,,1306,777,2083
Mathematics General,2,12141,12372,24513,,,
Mathematics General 2,2,,,,8570,8839,17409
Mathematics Life Skills,2,1086,491,1577,861,399,1260
Metal and Engineering,2,1329,69,1398,696,24,720
Metal and Engineering,4,23,2,25,34,1,35
Metal and Engineering Examination,2,,,,493,14,507
Metal and Engineering SBA Specialisation,1,2,,2,,,
Metal and Engineering School-based Apprenticeship,2,1,1,2,,,
Modern Greek Beginners,2,22,31,53,11,20,31
Modern Greek Continuers,2,14,30,44,18,22,40
Modern Greek Extension,1,,,,12,9,21
Modern Hebrew Continuers,2,,,,,1,1
Modern History,2,3723,4294,8017,2597,2959,5556
Music 1,2,1966,1961,3927,1452,1451,2903
Music 2,2,265,302,567,165,208,373
Music Extension,1,,,,112,122,234
Music Life Skills,2,95,56,151,72,29,101
Persian Background Speakers,2,16,22,38,12,12,24
"Personal Development, Health & PE Life Skills",2,778,362,1140,613,271,884
"Personal Development, Health and Physical Education",2,4914,5983,10897,3658,4715,8373
Physics,2,5733,1868,7601,4250,1185,5435
Polish Continuers,2,3,8,11,2,5,7
Portuguese Continuers,2,6,4,10,,4,4
Primary Industries,2,765,534,1299,432,296,728
Primary Industries,4,12,6,18,35,10,45
Primary Industries Examination,2,,,,307,241,548
Primary Industries Specialisation Study,1,3,,3,,,
Primary Industries Specialisation Study,2,17,4,21,22,17,39
Punjabi Continuers,2,2,12,14,5,7,12
Retail Operations Extension,1,,3,3,,2,2
Retail Services,2,617,1198,1815,371,866,1237
Retail Services,4,11,11,22,36,52,88
Retail Services Examination,2,,,,257,639,896
Russian Continuers,2,4,12,16,17,15,32
Science Life Skills,2,587,265,852,414,209,623
Senior Science,2,1813,1514,3327,2297,1982,4279
Serbian Continuers,2,8,10,18,8,4,12
Society and Culture,2,1125,3940,5065,589,2594,3183
Society and Culture Life Skills,2,21,14,35,27,16,43
Software Design and Development,2,1700,204,1904,1048,100,1148
Spanish Beginners,2,75,163,238,18,88,106
Spanish Continuers,2,23,71,94,26,40,66
Spanish Extension,1,,,,6,11,17
Studies of Religion I,1,291,340,631,108,154,262
Studies of Religion I Life Skills,1,,3,3,,,
Studies of Religion II,2,241,773,1014,158,713,871
Studies of Religion II Life Skills,2,3,2,5,1,,1
Tamil Continuers,2,1,8,9,,2,2
Technology Life Skills,2,326,151,477,258,106,364
Textiles and Design,2,46,1352,1398,16,998,1014
Textiles and Design Life Skills,2,3,20,23,2,17,19
"Tourism, Travel and Events",2,,5,5,2,7,9
"Tourism, Travel and Events Examination",2,,,,1,6,7
Turkish Continuers,2,6,12,18,5,40,45
Ukrainian Continuers,2,1,,1,2,2,4
Vietnamese Continuers,2,75,81,156,52,74,126
Visual Arts,2,2092,5129,7221,1462,3775,5237
Visual Arts Life Skills,2,327,162,489,174,112,286
Work and the Community Life Skills,2,624,316,940,577,296,873
